AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.38950642744207853 0.05727373458095716 0.0037289949580786657 0.0002559760920139072 0.2553424071393804
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3913977108682111 0.05590878426794508 0.0033538731768368644 0.00022070023481057796 0.25514277477477304
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3934221832680232 0.05617705555225701 0.0035014329296476315 0.000257785110332027 0.2549451736210517
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3972941156252105 0.059493308073307626 0.004244565178742767 0.00042692832307619766 0.26569529843936696
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3960189386127666 0.06047114379690603 0.004418792356760295 0.0005101431657096944 0.2688599109678852
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39241252491922296 0.06140353943326 0.004507683774116191 0.0005119521840278132 0.271753966473358
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3954775898810704 0.062058925306985015 0.004868582928581048 0.0005671272427304594 0.27060051311201583
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3932743864714291 0.06253954161438391 0.004756579742712654 0.0006322519021827608 0.27086095034478436
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3971480373960189 0.06227039648224064 0.004711245119861144 0.0005246153122546503 0.2678450358327448
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3962440709424574 0.0625404154622157 0.004650798956059157 0.0005119521840278135 0.26907700588928596
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39740668179005745 0.06314599200953772 0.00470413380647267 0.0005010980741190974 0.2687647800464671
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3972056094039963 0.06284189296412954 0.005033032050689414 0.0006358699388190001 0.2683249469907948
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3974281638825823 0.06295549318224179 0.004794803052175663 0.00047667632682448397 0.26839050676141246
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39670035058774644 0.06330241077140066 0.004783247167919414 0.0005146657115049939 0.2669860856117023
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3967553447446129 0.06359514979499759 0.004690800093869275 0.0004676312352338868 0.26787514787126593
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3949585825256028 0.0627379050721646 0.004782358253745857 0.0004730582901882443 0.26774220889486844
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.396508730322399 0.0643947205609426 0.005008142453829792 0.0005770768434801163 0.2688785556413404
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39550508695950415 0.06471717041081546 0.005002808968788461 0.000575267825161997 0.2714441339586181
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3926239087096938 0.06484300449857108 0.00496191891680472 0.0005707452793666976 0.2716222473163412
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39295817006942607 0.06674974046719652 0.005307706530319082 0.0005607956786170408 0.27257375503110626
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3937650374647672 0.0658287048526542 0.00523926013895505 0.0005915489900250733 0.2706373677842333
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39525761325358666 0.06666060798836991 0.005492600678419309 0.00067385932349951 0.2710162272488986
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3922226232212787 0.06694548238148232 0.005398375776022079 0.0006394879754552397 0.27292825436040186
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3914492678902818 0.06600347441898066 0.0051788139751530555 0.0005825038984344755 0.27265042743986906
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3925689145528224 0.06509379882625005 0.005120145639698179 0.0006005940816156704 0.2715979231132364
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3931772874132051 0.0663294196601802 0.005188592031062223 0.000597880554138491 0.272694377729907
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3906793496940899 0.06655050316158385 0.004991253084532168 0.0004649177077567068 0.27217785160658986
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3932082216264474 0.06424092334257517 0.005012587024697594 0.0005617001877761005 0.27169411813282895
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39146129786209594 0.06637223820392997 0.005127256953086665 0.0005843129167525953 0.2737274728381227
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3915515226507135 0.06533760237127602 0.004991253084532157 0.000538182949640547 0.2726858390672265
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3896989069911284 0.06544333795890364 0.004954807603416283 0.0005653182244123399 0.2737107161504721
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3899773149102853 0.06574918469997572 0.005132590438128011 0.0005065251290734552 0.27305483033200295
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3909491647762392 0.0665251615744663 0.005204592486186278 0.0005671272427304596 0.2721388211762304
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3897178112325502 0.06565480913415894 0.0050730331884995756 0.0005372784404814872 0.2729728355032681
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39044648381109104 0.06612144387625155 0.005129923695607309 0.0005743633160029375 0.2727570353215301
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39267632501546185 0.06557441513364833 0.004967252401846083 0.0005300423672090089 0.27392425614081295
