Loss:  tensor(0.3054, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2658, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2303, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2269, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2097, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1735, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1829, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1617, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1501, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1630, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1468, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1701, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1474, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1478, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1383, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1462, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1262, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1344, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1360, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1326, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1311, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1192, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1217, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1273, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1332, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1259, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1266, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1192, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1246, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1263, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1336, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1305, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1132, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1230, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1221, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1192, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1177, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1125, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1228, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1121, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1263, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1188, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1200, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1154, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1301, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1214, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1146, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.1097, device='cuda:0', grad_fn=<MeanBackward0>)
