reward: tensor(0.0602, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0516, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0361, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0426, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0446, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0530, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0559, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0315, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0394, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0242, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0520, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0366, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0550, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0395, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0672, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0475, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0512, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0330, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0398, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0433, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0385, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0425, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0475, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0359, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0588, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0408, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0585, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0408, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0331, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0510, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0436, device='cuda:0', grad_fn=<MeanBackward0>)
