AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3208705357142857 0.041598761408083426 0.041598761408083426 0.00012049354154617315 0.21597070558058037
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31626888736263736 0.034983819146954725 0.034983819146954725 5.7234432234432234e-05 0.21380712886105527
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31519860347985373 0.034806295399515734 0.034806295399515734 4.819741661846925e-05 0.21477095831881512
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31452323717948716 0.0355629539951574 0.0355629539951574 5.4222093695777906e-05 0.21538109602508965
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3127947573260073 0.0354349040789719 0.0354349040789719 4.518507807981492e-05 0.2155458642231239
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3132755265567765 0.035920911715403216 0.035920911715403216 6.928378638904955e-05 0.21587844102919757
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31130093864468866 0.036104255913577965 0.036104255913577965 4.217273954116059e-05 0.21558222223769177
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3112837683150184 0.03575502886943565 0.03575502886943565 3.3135723925197607e-05 0.21641220013191412
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3098414606227106 0.036351625069845406 0.036351625069845406 6.0246770773086556e-05 0.21684440274487485
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31043956043956056 0.03613626839262432 0.03613626839262432 5.7234432234432234e-05 0.21728266161549223
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3099788232600733 0.03656698174706649 0.03656698174706649 6.627144785039521e-05 0.21725534140081196
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3105339972527475 0.03639236822499536 0.03639236822499536 6.325910931174089e-05 0.2175310769906411
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3094179258241758 0.036811440677966094 0.036811440677966094 6.627144785039521e-05 0.21808749936766678
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3088856456043957 0.037282897187558214 0.037282897187558214 7.53084634663582e-05 0.21819295644105136
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30939503205128205 0.0369394905941516 0.0369394905941516 9.037015615962985e-05 0.21785054699732706
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3096354166666667 0.036991874650772964 0.036991874650772964 7.832080200501253e-05 0.2182235170851697
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3090859661172164 0.03722469268020115 0.03722469268020115 8.133314054366685e-05 0.2185140359368953
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3094236492673994 0.03741967777984728 0.03741967777984728 5.7234432234432234e-05 0.21814604832248374
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3091403388278389 0.037055899608865725 0.037055899608865725 7.832080200501253e-05 0.21810182667040562
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30901156135531144 0.03728580741292606 0.03728580741292606 5.120975515712358e-05 0.21841988769861367
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30882554945054946 0.037064630284969265 0.037064630284969265 8.735781762097552e-05 0.21850429630869037
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30813587454212454 0.03736729372322595 0.03736729372322595 0.00011446886446886454 0.2184094699856999
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3083390567765566 0.03714611659526913 0.03714611659526913 9.037015615962985e-05 0.21812588410390601
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3076379349816852 0.037099552989383514 0.037099552989383514 8.434547908232118e-05 0.21868968435696193
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30730025183150195 0.03689001676289812 0.03689001676289812 9.037015615962985e-05 0.2192500440792723
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30650469322344326 0.037306178990501045 0.037306178990501045 8.133314054366685e-05 0.21869422601802008
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30701407967032984 0.0367619668467126 0.0367619668467126 7.832080200501253e-05 0.21890822634264662
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30755208333333356 0.03765249580927545 0.03765249580927545 6.627144785039521e-05 0.2197531038424471
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30730025183150195 0.037629214006332685 0.037629214006332685 7.53084634663582e-05 0.2201860391504162
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3071199633699632 0.03805410691003909 0.03805410691003909 9.639483323693854e-05 0.2202754292514298
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3068595467032967 0.038487730489849124 0.038487730489849124 8.133314054366685e-05 0.2209860363995636
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30723729395604404 0.03831893741851369 0.03831893741851369 5.4222093695777906e-05 0.22056856473068615
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30664205586080584 0.038572127025516885 0.038572127025516885 0.00011446886446886448 0.2208234001319487
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3063730540293039 0.038508102067424124 0.038508102067424124 9.940717177559287e-05 0.22132277873518702
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3059867216117216 0.0387409200968523 0.0387409200968523 9.037015615962985e-05 0.22095206486327307
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3061641483516483 0.03857794747625256 0.03857794747625256 4.819741661846925e-05 0.22154035828598254
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3064531822344323 0.03812977276960326 0.03812977276960326 9.940717177559287e-05 0.22141473363716524
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30608402014652014 0.039058134661948234 0.039058134661948234 7.53084634663582e-05 0.2215062297962524
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3063587454212455 0.03853138387036691 0.03853138387036691 9.63948332369385e-05 0.2210618822456716
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3057177197802198 0.039276401564537176 0.039276401564537176 9.037015615962985e-05 0.22152064011974648
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3061755952380954 0.03914544142298378 0.03914544142298378 9.037015615962985e-05 0.2216021511908416
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30561469780219763 0.038970827900912636 0.038970827900912636 7.832080200501253e-05 0.22175728521504245
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3063358516483517 0.03877002235053079 0.03877002235053079 8.133314054366685e-05 0.22198744617648178
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.306095467032967 0.03885441888619854 0.03885441888619854 0.0001054318488529015 0.22216945469051927
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3060267857142857 0.03977113987707209 0.03977113987707209 9.940717177559287e-05 0.2229809629229399
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.306258585164835 0.03952377072080462 0.03952377072080462 8.735781762097552e-05 0.2224554656134857
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3057320283882782 0.039480117340286836 0.039480117340286836 6.325910931174089e-05 0.22224038741090796
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3068137591575092 0.04002432948407523 0.04002432948407523 0.0001054318488529015 0.22215285635256504
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3053914835164836 0.03971002514434717 0.03971002514434717 7.832080200501253e-05 0.22240269839108645
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30613553113553116 0.03959361612963307 0.03959361612963307 9.338249469828419e-05 0.2228580872108648
