reward: tensor(0.0945, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0953, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0828, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0978, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0890, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0836, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0941, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0889, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0777, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0919, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0966, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0960, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0981, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0981, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0973, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0922, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0928, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0853, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0977, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0893, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0866, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0805, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0860, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0889, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0995, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0939, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0859, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0820, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0935, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0895, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0898, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0927, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.1039, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0746, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0755, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0882, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0980, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0906, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0936, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0851, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0957, device='cuda:0', grad_fn=<MeanBackward0>)
