AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3095495650183151 0.031514830508474555 0.031514830508474555 5.120975515712358e-05 0.1971514968426673
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3098958333333334 0.03116560346433228 0.03116560346433228 2.7111046847888953e-05 0.20212897281725328
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30931776556776563 0.030403124417954914 0.030403124417954914 2.4098708309234624e-05 0.2046252128842113
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3101591117216118 0.03127037157757497 0.03127037157757497 4.217273954116059e-05 0.207896691265997
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3098099816849817 0.03265563885267273 0.03265563885267273 3.3135723925197607e-05 0.21010180701921274
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30973843864468864 0.03322895325013968 0.03322895325013968 4.217273954116059e-05 0.21243512073715964
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3100875686813187 0.03394486869063139 0.03394486869063139 3.6148062463851935e-05 0.21337879588315775
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30968406593406594 0.033389015645371556 0.033389015645371556 3.6148062463851935e-05 0.21478028300699298
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3102077609890108 0.03402635500093124 0.03402635500093124 3.6148062463851935e-05 0.2156144467356441
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30964686355311344 0.034462888806109135 0.034462888806109135 5.4222093695777906e-05 0.2154859374840181
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3101676968864469 0.03503911342894392 0.03503911342894392 5.120975515712358e-05 0.21603263668961578
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3098471840659341 0.035074036133358154 0.035074036133358154 4.518507807981492e-05 0.2162026327389937
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3097584706959707 0.03553094151611099 0.03553094151611099 6.928378638904955e-05 0.2166073785705881
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3102649954212455 0.035728836841124954 0.035728836841124954 3.6148062463851935e-05 0.21704068403322618
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30939789377289384 0.03615663997019927 0.03615663997019927 4.217273954116059e-05 0.21731906605290843
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3094665750915751 0.03564153008008938 0.03564153008008938 4.819741661846925e-05 0.21761429096971238
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3098529075091575 0.03575502886943563 0.03575502886943563 5.4222093695777906e-05 0.21745182524670612
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30959535256410253 0.03604023095548519 0.03604023095548519 4.217273954116059e-05 0.21787337926062908
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30912889194139204 0.0360140389271745 0.0360140389271745 3.3135723925197607e-05 0.21788211265108087
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30990728021978026 0.03631379214006331 0.03631379214006331 3.3135723925197607e-05 0.21894595321718152
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30973557692307707 0.036395278450363173 0.036395278450363173 3.9160401002506263e-05 0.21792988790260567
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3103250915750916 0.036211934252188466 0.036211934252188466 2.7111046847888953e-05 0.21804871811316565
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3104281135531135 0.0368347224809089 0.0368347224809089 7.53084634663582e-05 0.21808167342301255
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3094951923076923 0.03624394673123485 0.03624394673123485 6.928378638904955e-05 0.2180179706314108
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31039091117216117 0.036569891972434314 0.036569891972434314 4.819741661846925e-05 0.21781254125820412
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30967261904761917 0.036951131495623 0.036951131495623 7.53084634663582e-05 0.2182403360749339
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30993875915750924 0.03670085211398769 0.03670085211398769 6.627144785039521e-05 0.21830683062364767
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3102449633699634 0.03693075991804804 0.03693075991804804 8.133314054366685e-05 0.2180667722618187
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31013621794871793 0.03660481467684857 0.03660481467684857 4.819741661846925e-05 0.21769209517227425
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30912030677655683 0.03628468988638479 0.03628468988638479 7.229612492770387e-05 0.21813158494430585
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3095753205128205 0.03698605420003723 0.03698605420003723 5.120975515712358e-05 0.21842124010180378
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.31011618589743584 0.03693949059415159 0.03693949059415159 4.217273954116059e-05 0.21832013981682913
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3096268315018317 0.03687546563605884 0.03687546563605884 7.229612492770387e-05 0.21888850465580656
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30970695970695955 0.036936580368783736 0.036936580368783736 9.338249469828416e-05 0.21857441847140974
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3100875686813187 0.03718976997578691 0.03718976997578691 5.4222093695777906e-05 0.21825066356213538
