Loss:  tensor(0.5736, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.5142, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4730, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4103, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4202, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4097, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3875, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3677, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4142, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3200, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3511, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3150, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3401, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3012, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3298, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3161, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3325, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2955, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3147, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3026, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2915, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3057, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2825, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2682, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2949, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2925, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2832, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2903, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2792, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2566, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2847, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2747, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2415, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2694, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2595, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3076, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2886, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2515, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3013, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2784, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2824, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2682, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2677, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2502, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2438, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2714, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2510, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2611, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2412, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2913, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2547, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2564, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2626, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2513, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2685, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2829, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2844, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2646, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2839, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2833, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2669, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2645, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2630, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2725, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2436, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2639, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2632, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2513, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2816, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2727, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2528, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2499, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2849, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2467, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2510, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2657, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2700, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2595, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2497, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2704, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2513, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2873, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2575, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2613, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2526, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3534, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3167, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2491, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2909, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2640, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2481, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2828, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2722, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2637, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2474, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2485, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2525, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2785, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2638, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2235, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2826, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2425, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3087, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2703, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2201, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2627, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3187, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2486, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2511, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2645, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2787, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2368, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2646, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2736, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2496, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2428, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2614, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2982, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2668, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2715, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2689, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2230, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3155, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2589, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2668, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2540, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2414, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2479, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2665, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2428, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2588, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2831, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2607, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2519, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2441, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2795, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2712, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2363, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2972, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2481, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2592, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2821, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2324, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2536, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2214, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2664, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2726, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2251, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2638, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2365, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3133, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2621, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2533, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2617, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2464, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2518, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2536, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2647, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2657, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2732, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2343, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2384, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2347, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2583, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2922, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2718, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2335, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2584, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2399, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2706, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2439, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2424, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2884, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2550, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2646, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2598, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2634, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2652, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2832, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2794, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2553, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2814, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2459, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2344, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2661, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2593, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2766, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2447, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2766, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2680, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.2570, device='cuda:0', grad_fn=<MeanBackward0>)
