AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.29698344748858446 0.035770257719990727 0.035770257719990727 0.0002072819033886087 0.20978670140651806
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3070804794520546 0.0359443928488507 0.0359443928488507 0.00010514299447248262 0.21690726443512798
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30709760273972597 0.03702112839563499 0.03702112839563499 5.7077625570776254e-05 0.21856624986210915
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3080536529680364 0.03661481309496167 0.03661481309496167 9.012256669069935e-05 0.21799863066575298
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30763698630137 0.037645112607383305 0.037645112607383305 7.810622446527277e-05 0.21922398572915222
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30818778538812786 0.038068841420942606 0.038068841420942606 8.711848113434271e-05 0.21984791800583878
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3068521689497713 0.03859995356396562 0.03859995356396562 9.012256669069936e-05 0.21945851857531562
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30688356164383557 0.038332946366380315 0.038332946366380315 9.312665224705602e-05 0.2201729846735523
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3075028538812785 0.03809786394241932 0.03809786394241932 9.613073780341267e-05 0.22014824780699324
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3057734018264841 0.03858834455537494 0.03858834455537494 0.00013818793559240583 0.22099837950647694
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3065781963470319 0.03835616438356167 0.03835616438356167 9.613073780341267e-05 0.22073374704955376
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30626712328767136 0.03836487114000461 0.03836487114000461 0.00010213890891612599 0.22016048023145493
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3058875570776255 0.03847805897376361 0.03847805897376361 6.608988223984618e-05 0.22010856327945238
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3068921232876714 0.03894241931739025 0.03894241931739025 7.810622446527277e-05 0.2205707697835687
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30593321917808225 0.038765381936382626 0.038765381936382626 7.810622446527277e-05 0.22030879226449418
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30646974885844747 0.038553517529602975 0.038553517529602975 8.711848113434271e-05 0.22105399680464236
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3065125570776252 0.03868121662410026 0.03868121662410026 8.111031002162941e-05 0.22101870865037995
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30595319634703194 0.03913396795913621 0.03913396795913621 0.0001291756789233358 0.22117408273154743
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30664668949771706 0.038974344091014634 0.038974344091014634 7.810622446527277e-05 0.22166713067930038
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.30613013698630137 0.03933422335732526 0.03933422335732526 7.209805335255947e-05 0.22136009360012943
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3055736301369864 0.03905560715114926 0.03905560715114926 9.613073780341267e-05 0.22135858347971146
