reward: tensor(0.0244, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0288, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0358, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0533, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0537, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0340, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0379, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0236, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0387, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0267, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0297, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0144, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0119, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0096, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0105, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0209, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0145, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0113, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0255, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0145, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0220, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0392, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0297, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0218, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0459, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0276, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0151, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0281, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0244, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0004, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0014, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0122, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0019, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0171, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0269, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0130, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0055, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0131, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0026, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0082, device='cuda:0', grad_fn=<MeanBackward0>)
