AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39401907708171835 0.09977235090295133 0.02614609168733842 0.008398800559015688 0.2957366596218789
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39547907536305765 0.09947697510716258 0.02563760656408398 0.008164520608042607 0.29630137896815906
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39569132938041884 0.1001551159874346 0.02644300432923866 0.008498301696494607 0.29665873784876323
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.396304889576345 0.1009092855488718 0.026642131370513127 0.00877780943723083 0.29812267664690306
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3968032998195341 0.10169141968269076 0.02710439057347175 0.008834796452332391 0.29815239416443523
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3965626879779961 0.10107619909027914 0.026561236009995378 0.008583329941249314 0.2991244900914989
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.396070293030845 0.10090054662000217 0.02703682961303929 0.00896052970787393 0.2992558220811006
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3965497980579154 0.10173336654126464 0.02732307473487134 0.009117922416249669 0.2994831971426574
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3972089026381311 0.101756961649212 0.027356855215087468 0.009102544967730199 0.29867860581817074
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39663143421843744 0.10154285789191014 0.02722706705425687 0.008864646793576068 0.29976347862260494
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3969296210363445 0.10299439397713207 0.02806713425963346 0.009338634030293808 0.3007327505472119
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3971350004296584 0.10219565587846066 0.027808446897977793 0.009193905103051748 0.3002523110757387
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39775371659362063 0.10233460484748504 0.027903565618586527 0.009209282551571217 0.3010758573662362
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39741170404743215 0.10263871957214304 0.027758665137659188 0.009295215352121189 0.301734631624794
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3969906333247348 0.10298041169094017 0.02780044625792651 0.009164054761808075 0.30210586291792835
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3972424164303473 0.10320500216288611 0.028102692659860998 0.00936757981574222 0.30230124041795364
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39715304631777637 0.10376254582475979 0.028381826101647457 0.009477935622764288 0.3026946914548664
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3975380252642393 0.10351173856620594 0.028421829301903474 0.009470699176402185 0.3023737471887794
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3968754833719987 0.10286593172275038 0.028092914099798416 0.009373007150513797 0.30227611824489803
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3969485262524637 0.10389887311512339 0.028492057142353002 0.009670606007155278 0.30264835877228285
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39699407063675624 0.10341124088420593 0.02831248722120372 0.009437230611977461 0.3022202742521558
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39751826072011254 0.1040989945862355 0.02862540114320645 0.009561154755928471 0.30347653224768484
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.39753716593623206 0.104298242164459 0.028882310584850728 0.009676033341926857 0.30347918090853504
AVERAGE SCORES B1:, B2:, B3:, B4:, ROUGE: 0.3975895849445692 0.10382721389839315 0.028780969144202005 0.009741161359185782 0.30273244902818097
