epoch:  0   Loss:  tensor(7.3415, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(7.2316, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(7.1463, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.9989, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(7.0348, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.9245, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.9538, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.8481, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.5229, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.4424, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.4166, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.2526, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.4332, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.3477, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.1570, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(6.0488, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.5574, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.3886, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.3549, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.1015, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7495, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7145, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.7010, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.6257, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7588, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.6857, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7912, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.6706, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.3810, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.2816, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.1640, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.0373, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.9254, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7943, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.3768, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.2971, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4796, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4399, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.1182, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.1646, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.6102, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.5222, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.9591, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.9656, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.9129, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.9523, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.5709, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.5883, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.2253, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.2397, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.6318, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.6931, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7046, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.6197, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.9284, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.9538, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.3786, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.3916, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.5465, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.5238, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.2290, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.2094, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.7610, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.7753, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.1388, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.0302, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.9409, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.0264, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4525, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4185, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4629, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.8793, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.8863, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.2516, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.8666, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.5660, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4993, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4300, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4312, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.9179, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.0373, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.4493, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.4130, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4555, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4293, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.8466, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7887, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.2675, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.1930, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.9908, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.9803, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.9505, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.0022, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7689, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7393, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7780, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.7436, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.6373, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.5828, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.4824, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.0255, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.9543, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.1252, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(5.0714, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.9373, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.8448, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.8904, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.8603, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.4503, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.3668, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(3.8502, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.1650, device='cuda:0', grad_fn=<NllLossBackward0>)
epoch:  0   Loss:  tensor(4.1294, device='cuda:0', grad_fn=<NllLossBackward0>)
